Movie Name,Year,Score,Critics Consensus,Directors,Cast,Adjusted Score,Synopsis
The Long Kiss Goodnight,1996,70,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",70.201,Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories... [More]
The Guest,2014,92,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.",Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",95.417,A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on... [More]
Taken,2008,59,"Taken is undeniably fun with slick action, but is largely a brainless exercise.",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",65.05,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his... [More]"
300,2006,61,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",71.29,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the... [More]"
True Lies,1994,71,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",74.145,"Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down... [More]"
Demolition Man,1993,60,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.",Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",60.905,"With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)... [More]"
Hardcore Henry,2015,51,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.",Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",59.838,A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a... [More]
Police Story,1985,93,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.","Jackie Chan, Chi-Hwa Chen","Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung",93.736,A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom... [More]
Brotherhood of the Wolf,2001,73,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.",Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel",76.665,"In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women... [More]"
Kingsman: The Secret Service,2014,75,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.",Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson",84.819,"Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing... [More]"
The Fifth Element,1997,71,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.",Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich",74.088,"In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in... [More]"
Big Trouble in Little China,1986,74,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",79.718,"Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's... [More]"
Atomic Blonde,2017,79,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman",105.669,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of... [More]"
Rumble in the Bronx,1995,80,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip",81.437,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a... [More]"
District B13,2004,80,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.",Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri",84.522,"In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a... [More]"
Beverly Hills Cop,1984,83,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.",Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",87.048,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly... [More]"
Ong-Bak: The Thai Warrior,2003,85,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.",Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai",88.871,"In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily... [More]"
Collateral,2004,86,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",94.836,A cab driver realizes his current fare is a hit man that has been having him drive around from mark... [More]
Iron Monkey,1993,91,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.",Woo-Ping Yuen,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang",93.304,"In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge... [More]"
Escape From New York,1981,86,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.",John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef",91.433,"In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of... [More]"
Battle Royale,2000,88,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô",88.127,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive... [More]"
Spider-Man 2,2004,93,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",103.406,"When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is... [More]"
13 Assassins,2010,95,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki",99.686,"In this remake of a 1963 film based on historical events, Shinzaemon Shimada (Koji Yakusho) leads a team of assassins... [More]"
Full Contact,1992,88,No consensus yet.,Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang",67.431,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating... [More]"
Indiana Jones and the Last Crusade,1989,88,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",93.092,An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist... [More]
Kung Fu Hustle,2004,91,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung",97.491,"When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig... [More]"
A Better Tomorrow,1986,93,No consensus yet.,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",92.517,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father.... [More]
Iron Man,2008,94,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges",104.588,"A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him... [More]"
The Night Comes for Us,2018,91,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang",91.118,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family.... [More]"
Logan,2017,94,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant",125.221,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote... [More]"
Goldfinger,1964,99,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark.",Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton",104.48,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and... [More]"
Assault on Precinct 13,1976,96,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.",John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West",99.053,"When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way... [More]"
Wonder Woman,2017,93,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",127.984,"Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior.... [More]"
The Chinese Connection,1972,83,No consensus yet.,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker",83.347,"Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who... [More]"
Captain America: The Winter Soldier,2014,90,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan",102.371,"After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in... [More]"
Oldboy,2003,81,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han",86.748,"Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the... [More]"
